Team,Pick,Name,Pos
CHI,1,Caleb Williams,QB
WAS,2,Jayden Daniels,QB
NE,3,Drake Maye,QB
ARI,4,Marvin Harrison Jr.,WR
LAC,5,Malik Nabers,WR
NYG,6,J.J. McCarthy,QB
TEN,7,Joe Alt,OT
ATL,8,Dallas Turner,EDGE
CHI,9,Rome Odunze,WR
NYJ,10,Brock Bowers,TE
MIN,11,Bo Nix,QB
DEN,12,Laiatu Latu,EDGE
LV,13,Michael Penix Jr.,QB
NO,14,Olumuyiwa Fashanu,OT
IND,15,Brian Thomas Jr.,WR
SEA,16,Troy Fautanu,OT
JAX,17,Quinyon Mitchell,CB
CIN,18,J.C. Latham,OT
LAR,19,Jared Verse,EDGE
PIT,20,Jackson Powers-Johnson,C
MIA,21,Graham Barton,OT
PHI,22,Cooper Dejan,CB
MIN,23,Byron Murphy II,DL
DAL,24,Talies Fuaga,OT
GB,25,Tyler Guyton,OT
BUC,26,Nate Wiggins,CB
ARI,27,Darius Robinson,EDGE
BUF,28,Adonai Mitchell,WR
DET,29,Kool-Aid Mckinstry,CB
BAL,30,Jordan Morgan,OT
SAN,31,Kingsley Suamataia,OT
KC,32,Xavier Legette,WR
NE,34,Troy Franklin,WR
PIT,51,Ladd McConkey,WR
LAR,52,Zach Frazier,C
CAR,101,Will Shipley,HB
BAL,113,Layden Robinson,OG
LAR,154,Sam Hartman,QB